Day,cum,vaccine ,deaths ,change,new
2021-05-01,19557457,2146620,3417,96.69338199,371040.7143
2021-05-02,19925517,1936741,3449,88.31142314,373193.4286
2021-05-03,20282833,1838788,3780,79.39694671,378092.4286
2021-05-04,20664979,1839692,3980,71.42881887,381123.7143
2021-05-05,21077410,1904976,3915,63.21115476,385855.5714
2021-05-06,21491598,1884556,4187,55.15082,389803.1429
2021-05-07,21892676,1981076,4077,48.1634335,389672.4286
2021-05-08,22296081,2013337,3769,41.31523736,391232
2021-05-09,22662575,2145255,3876,35.71556525,391008.2857
2021-05-10,22992517,2301699,4205,29.60106109,387097.7143
2021-05-11,23340938,2302048,4120,23.83591551,382279.8571
2021-05-12,23703665,2251178,4000,18.1785568,375179.2857
2021-05-13,24046809,2065202,3890,12.27972818,365030.1429
2021-05-14,24372907,2007240,4077,7.488614001,354318.7143
2021-05-15,24684077,1992305,4106,3.623446454,341142.2857
2021-05-16,25228996,1816898,4329,-0.3163732317,328984
2021-05-17,25496330,1618423,4529,-4.307872943,319497
2021-05-18,25772440,1480718,3874,-8.774780264,307913.1429
2021-05-19,26031991,1360720,4209,-13.15077958,295539.2857
2021-05-20,26289290,1388325,4194,-16.76539772,283597.4286
2021-05-21,26530132,1328280,3741,-20.64986491,273769
2021-05-22,26752447,1352605,4454,-23.54539153,263722.1429
2021-05-23,26948874,1478358,3511,-26.13680895,255283.4286